iter	RMSE
0	3842.144884
1	3563.864074
2	3365.778781
3	3188.260578
4	3060.16941
5	2969.484154
6	2899.166387
7	2842.957705
8	2799.839481
9	2766.49972
10	2742.807634
11	2723.681555
12	2709.986328
13	2690.276374
14	2674.180028
15	2659.868215
16	2648.786327
17	2639.845049
18	2633.244689
19	2620.152705
20	2609.72412
21	2601.798751
22	2596.033575
23	2590.424919
24	2584.461352
25	2580.620365
26	2576.897107
27	2571.133315
28	2567.744496
29	2561.498427
30	2557.30679
31	2554.330954
32	2549.972467
33	2546.893802
34	2539.210649
35	2532.901568
36	2530.988674
37	2528.584851
38	2525.661569
39	2516.259672
40	2513.767532
41	2509.940781
42	2507.661868
43	2503.943788
44	2501.987685
45	2499.52841
46	2495.155976
47	2492.51088
48	2490.76111
49	2487.64704
50	2484.243074
51	2479.745896
52	2478.435461
53	2475.744992
54	2473.645654
55	2472.27513
56	2469.507816
57	2468.017808
58	2465.976017
59	2461.424142
60	2457.060532
61	2455.211055
62	2453.64207
63	2450.31327
64	2446.414213
65	2444.416954
66	2443.374994
67	2441.289901
68	2439.624109
69	2438.328087
70	2431.86632
71	2429.225358
72	2428.266348
73	2425.460059
74	2423.405534
75	2420.592787
76	2418.665211
77	2417.568473
78	2415.655508
79	2415.134359
80	2412.687817
81	2411.601419
82	2409.015156
83	2407.911222
84	2404.946561
85	2402.827547
86	2401.124775
87	2398.372281
88	2395.741335
89	2394.749927
90	2393.7163
91	2391.946864
92	2390.847848
93	2389.785421
94	2387.163456
95	2384.976662
96	2382.127299
97	2379.747516
98	2378.510229
99	2377.452225
100	2376.522893
101	2375.401166
102	2373.905163
103	2372.474392
104	2371.544852
105	2370.525876
106	2369.642806
107	2367.431559
108	2365.339156
109	2364.201605
110	2362.712339
111	2361.34984
112	2360.046614
113	2358.697708
114	2357.954922
115	2356.845167
116	2355.331602
117	2354.752034
118	2354.082274
119	2352.232343
120	2351.607944
121	2350.478047
122	2349.217324
123	2348.281455
124	2347.6353
125	2346.74399
126	2345.954418
127	2344.495619
128	2343.870175
129	2342.317487
130	2341.429382
131	2340.440248
132	2339.862564
133	2339.310901
134	2338.992763
135	2337.79209
136	2337.041231
137	2336.570996
138	2335.591221
139	2334.477106
140	2334.199367
141	2333.664897
142	2332.581165
143	2331.664538
144	2331.184188
145	2330.112507
146	2328.63966
147	2327.907494
148	2327.533375
149	2324.677534
150	2323.874282
151	2322.645879
152	2321.431242
153	2320.765295
154	2320.226761
155	2319.445347
156	2318.238458
157	2318.040064
158	2317.718811
159	2317.514026
160	2316.728641
161	2315.319215
162	2314.666644
163	2313.999267
164	2313.233885
165	2312.812036
166	2312.165818
167	2311.785558
168	2311.238245
169	2310.24974
170	2309.658856
171	2309.242117
172	2308.988656
173	2308.108561
174	2307.443569
175	2306.322629
176	2305.595159
177	2305.161719
178	2304.245609
179	2303.791001
180	2302.848716
181	2302.540999
182	2301.976556
183	2301.70539
184	2300.819773
185	2300.366682
186	2299.789497
187	2297.159125
188	2296.766311
189	2296.480797
190	2295.432626
191	2295.300818
192	2294.304392
193	2293.540536
194	2292.635473
195	2292.323742
196	2291.284554
197	2291.04182
198	2290.243132
199	2289.065487
200	2287.256788
201	2286.670484
202	2286.234198
203	2285.178922
204	2285.022881
205	2284.061298
206	2283.314438
207	2282.894111
208	2282.258169
209	2281.708427
210	2280.949633
211	2280.860838
212	2280.386222
213	2279.975199
214	2279.725831
215	2278.888923
216	2278.73014
217	2278.14931
218	2277.84115
219	2277.055741
220	2276.283956
221	2275.988593
222	2275.007065
223	2274.732053
224	2274.586235
225	2274.161445
226	2273.108572
227	2271.666868
228	2271.351787
229	2270.997046
230	2270.471581
231	2269.678788
232	2268.833174
233	2268.384294
234	2267.820812
235	2266.38153
236	2266.092449
237	2265.844785
238	2264.077418
239	2263.674968
240	2262.424454
241	2261.80531
242	2260.743126
243	2260.527908
244	2259.359345
245	2259.034186
246	2258.830773
247	2258.244261
248	2258.047014
249	2257.887447
250	2257.553656
251	2257.10823
252	2256.896041
253	2256.335404
254	2255.481461
255	2254.68501
256	2254.244355
257	2254.073557
258	2253.099326
259	2252.773437
260	2252.424316
261	2251.444612
262	2250.414397
263	2250.222969
264	2249.6114
265	2249.172701
266	2248.908575
267	2248.23458
268	2247.65703
269	2246.25844
270	2245.575393
271	2245.315278
272	2245.093615
273	2244.841659
274	2243.407381
275	2242.877923
276	2242.615917
277	2241.873276
278	2241.425476
279	2240.768047
280	2239.867512
281	2239.426315
282	2239.118624
283	2238.606832
284	2238.258247
285	2237.423868
286	2237.346923
287	2236.897632
288	2236.871986
289	2236.414466
290	2236.324675
291	2236.204113
292	2235.795595
293	2235.118826
294	2234.983748
295	2234.781323
296	2234.382666
297	2234.141445
298	2233.90611
299	2233.628187
300	2233.195545
301	2232.81724
302	2232.53624
303	2232.081913
304	2231.931238
305	2230.898317
306	2230.647086
307	2230.391627
308	2229.978521
309	2229.687824
310	2229.25607
311	2228.817504
312	2228.556019
313	2228.240113
314	2227.812026
315	2227.13903
316	2226.935705
317	2226.165061
318	2225.837932
319	2225.570033
320	2224.989993
321	2224.351739
322	2224.09219
323	2223.555484
324	2222.908163
325	2222.320543
326	2222.16213
327	2222.021382
328	2221.847551
329	2221.428151
330	2221.113068
331	2220.785136
332	2220.120325
333	2219.772626
334	2218.959344
335	2218.326642
336	2217.534074
337	2217.323849
338	2217.27244
339	2217.187476
340	2216.681511
341	2216.263335
342	2215.99392
343	2215.800945
344	2215.591738
345	2214.948129
346	2214.727802
347	2214.360827
348	2214.106181
