iter	Passed	Remaining
0	111	110986
1	171	85425
2	229	76398
3	283	70651
4	324	64600
5	372	61679
6	415	58906
7	461	57249
8	508	55970
9	563	55829
10	603	54290
11	648	53378
12	679	51587
13	712	50163
14	777	51038
15	846	52062
16	916	52979
17	970	52942
18	1029	53135
19	1094	53654
20	1150	53649
21	1186	52753
22	1218	51738
23	1255	51038
24	1303	50848
25	1363	51090
26	1412	50896
27	1473	51164
28	1519	50864
29	1559	50433
30	1597	49924
31	1650	49932
32	1720	50409
33	1801	51191
34	1880	51854
35	1953	52308
36	2064	53739
37	2134	54030
38	2185	53855
39	2244	53870
40	2284	53443
41	2339	53358
42	2388	53157
43	2429	52789
44	2468	52394
45	2511	52079
46	2548	51670
47	2585	51278
48	2627	50999
49	2660	50547
50	2708	50395
51	2749	50118
52	2792	49900
53	2841	49780
54	2878	49454
55	2926	49329
56	2964	49048
57	3006	48830
58	3046	48594
59	3093	48461
60	3146	48428
61	3192	48306
62	3246	48283
63	3300	48263
64	3352	48218
65	3399	48102
66	3445	47984
67	3498	47944
68	3536	47719
69	3566	47390
70	3616	47323
71	3672	47331
72	3725	47311
73	3775	47249
74	3823	47159
75	3877	47147
76	3928	47095
77	3970	46936
78	4021	46881
79	4070	46805
80	4121	46766
81	4180	46798
82	4254	46999
83	4300	46898
84	4343	46761
85	4391	46671
86	4445	46652
87	4500	46641
88	4558	46665
89	4610	46617
90	4660	46555
91	4702	46407
92	4758	46408
93	4811	46371
94	4859	46293
95	4914	46281
96	4971	46284
97	5014	46155
98	5067	46115
99	5109	45987
100	5151	45856
101	5208	45857
102	5263	45837
103	5321	45848
104	5374	45811
105	5432	45818
106	5485	45778
107	5539	45749
108	5605	45817
109	5651	45725
110	5705	45696
111	5751	45603
112	5804	45564
113	5852	45482
114	5895	45366
115	5952	45364
116	6005	45327
117	6060	45303
118	6108	45226
119	6161	45184
120	6216	45159
121	6266	45101
122	6324	45096
123	6377	45054
124	6423	44966
125	6471	44886
126	6518	44809
127	6559	44688
128	6634	44794
129	6699	44835
130	6759	44840
131	6837	44960
132	6897	44964
133	6970	45047
134	7027	45028
135	7112	45188
136	7194	45322
137	7261	45356
138	7348	45520
139	7427	45628
140	7500	45691
141	7558	45671
142	7637	45772
143	7716	45868
144	7791	45945
145	7891	46158
146	7988	46355
147	8082	46527
148	8133	46455
149	8198	46460
150	8260	46444
151	8313	46379
152	8358	46271
153	8413	46221
154	8457	46106
155	8504	46012
156	8557	45947
157	8622	45951
158	8672	45872
159	8728	45823
160	8821	45969
161	8934	46218
162	9162	47048
163	9347	47649
164	9443	47789
165	9522	47844
166	9600	47887
167	9668	47884
168	9726	47827
169	9778	47743
170	9849	47748
171	9921	47761
172	9988	47748
173	10056	47738
174	10137	47792
175	10221	47855
176	10369	48213
177	10461	48311
178	10532	48308
179	10599	48285
180	10661	48242
181	10809	48584
182	10927	48783
183	11149	49444
184	11254	49579
185	11363	49731
186	11460	49826
187	11531	49804
188	11914	51125
189	12331	52570
190	12566	53226
191	12711	53493
192	12797	53512
193	12863	53444
194	12929	53376
195	13015	53391
196	13115	53461
197	13204	53485
198	13265	53396
199	13328	53315
200	13396	53252
201	13448	53127
202	13502	53012
203	13572	52958
204	13632	52866
205	13693	52780
206	13757	52702
207	13818	52618
208	13863	52470
209	13923	52378
210	13984	52292
211	14039	52184
212	14092	52067
213	14145	51956
214	14216	51905
215	14281	51837
216	14343	51754
217	14408	51685
218	14478	51633
219	14541	51555
220	14596	51451
221	14659	51374
222	14724	51305
223	14789	51235
224	14860	51184
225	14934	51147
226	15001	51084
227	15065	51012
228	15121	50912
229	15175	50805
230	15238	50730
231	15284	50595
232	15332	50470
233	15399	50409
234	15453	50307
235	15518	50237
236	15589	50188
237	15665	50155
238	15742	50125
239	15806	50054
240	15878	50007
241	15937	49920
242	15989	49812
243	16062	49767
244	16133	49717
245	16188	49617
246	16328	49778
247	16386	49687
248	16453	49625
249	16514	49543
250	16576	49465
251	16643	49403
252	16690	49280
253	16750	49196
254	16824	49155
255	16884	49070
256	16937	48966
257	17010	48922
258	17060	48811
259	17117	48718
260	17180	48645
261	17246	48578
262	17306	48496
263	17365	48413
264	17436	48361
265	17469	48204
266	17524	48110
267	17580	48019
268	17650	47964
269	17707	47875
270	17765	47790
271	17834	47733
272	17905	47681
273	17963	47597
274	18004	47467
275	18055	47363
276	18135	47336
277	18208	47290
278	18273	47221
279	18336	47151
280	18402	47087
281	18458	46996
282	18527	46940
283	18586	46857
284	18652	46795
285	18717	46727
286	18780	46656
287	18839	46574
288	18893	46481
289	18951	46399
290	19007	46310
291	19069	46237
292	19119	46134
293	19173	46042
294	19224	45942
295	19294	45890
296	19355	45814
297	19408	45721
298	19468	45644
299	19517	45541
300	19577	45462
301	19621	45351
302	19687	45287
303	19748	45213
304	19795	45108
305	19844	45007
306	19913	44952
307	19966	44860
308	20013	44755
309	20067	44666
310	20117	44567
311	20169	44477
312	20230	44402
313	20279	44305
314	20331	44212
315	20390	44136
316	20447	44056
317	20500	43966
318	20561	43895
319	20605	43787
320	20665	43712
321	20716	43620
322	20779	43554
323	20850	43503
324	20922	43454
325	20979	43375
326	21048	43320
327	21104	43238
328	21170	43177
329	21235	43113
330	21291	43033
331	21351	42959
332	21410	42885
333	21462	42796
334	21526	42731
335	21576	42639
336	21624	42543
337	21680	42462
338	21717	42346
339	21757	42235
340	21806	42142
341	21868	42074
342	21911	41969
343	21976	41908
344	22038	41840
345	22090	41755
346	22130	41645
347	22182	41560
348	22230	41467
349	22277	41372
350	22331	41290
351	22371	41184
352	22432	41115
353	22491	41044
354	22538	40949
355	22583	40854
356	22651	40797
357	22700	40707
358	22771	40659
359	22826	40580
360	22880	40499
361	22918	40392
362	22968	40305
363	23032	40243
364	23080	40153
365	23149	40100
366	23198	40011
367	23248	39926
368	23300	39844
369	23358	39773
370	23412	39693
371	23480	39639
372	23536	39563
373	23590	39485
374	23649	39415
375	23708	39345
376	23766	39274
377	23847	39241
378	23906	39171
379	23973	39114
380	24048	39070
381	24123	39026
