iter	CrossEntropy
0	0.5560681342
1	0.508352207
2	0.4892477556
3	0.4776361072
4	0.4671024465
5	0.4639045327
6	0.4583893591
7	0.4537203431
8	0.4518329736
9	0.4480861109
10	0.4460550691
11	0.4425123317
12	0.4416715254
13	0.4391615164
14	0.4388967678
15	0.4364296096
16	0.4353549613
17	0.4347094369
18	0.4326953314
19	0.4314676821
20	0.4310877474
21	0.4283476979
22	0.4279909421
23	0.4259048711
24	0.4258702079
25	0.4250034593
26	0.4212913968
27	0.4188442863
28	0.4170600096
29	0.4137232839
30	0.411685592
31	0.4095825558
32	0.4081103057
33	0.406265439
34	0.4039554471
35	0.4022675484
36	0.4021535761
37	0.3997205593
38	0.3956850113
39	0.3938957566
40	0.3905307779
41	0.3896878004
42	0.3887059134
43	0.386422471
44	0.3843054236
45	0.3829925257
46	0.381512744
47	0.3811718274
48	0.3800248232
49	0.3781216993
50	0.3780241975
51	0.3779814541
52	0.3768269212
53	0.3750782407
54	0.3724012222
55	0.3698156214
56	0.3678614797
57	0.3665386049
58	0.3650638932
59	0.3634604617
60	0.3620989057
61	0.361506211
62	0.3599053153
63	0.3572350133
64	0.3558037208
65	0.3543493349
66	0.3537609529
67	0.3524395436
68	0.351167997
69	0.350692109
70	0.3494610752
71	0.348691396
72	0.3464167016
73	0.3456267645
74	0.3430309989
75	0.3410741771
76	0.3392811756
77	0.3384037324
78	0.3366344309
79	0.3348997651
80	0.3328761554
81	0.3314458299
82	0.3310329247
83	0.3299610608
84	0.3281015617
85	0.326507601
86	0.3256721329
87	0.323366456
88	0.3217709644
89	0.320265738
90	0.3192511678
91	0.3183129391
92	0.3161108497
93	0.3156699106
94	0.3144927064
95	0.3130110881
96	0.3129398457
97	0.3120831317
98	0.3096291108
99	0.308268118
100	0.3070270804
101	0.305466753
102	0.3052787162
103	0.3041631732
104	0.303421581
105	0.3021781766
106	0.3017437887
107	0.3010213359
108	0.3003529334
109	0.29925953
110	0.2980424758
111	0.2966658248
112	0.2964244027
113	0.2957061009
114	0.2956878506
115	0.2948121648
116	0.293691449
117	0.2931413636
118	0.2926325829
119	0.292383828
120	0.2916954126
121	0.290610429
122	0.2901769108
123	0.2897713909
124	0.2886405728
125	0.2880549219
126	0.2875374053
127	0.2861180095
128	0.2849986792
129	0.2835364913
130	0.2826446697
131	0.2819159054
132	0.2801227591
133	0.278542833
134	0.2775170604
135	0.2764845317
136	0.2754622628
137	0.2739988633
138	0.2729998383
139	0.271851409
140	0.2700961817
141	0.2691531439
142	0.2684623987
143	0.2681109996
144	0.267894051
145	0.2677027393
146	0.2666197651
147	0.2659211515
148	0.2647210753
149	0.2640729573
150	0.2634093915
151	0.2622243451
152	0.2612809282
153	0.2606744907
154	0.2602041813
155	0.2593490494
156	0.258691821
157	0.2566473729
158	0.2560312482
159	0.2551034289
160	0.2546614398
161	0.2542964369
162	0.2531052219
163	0.2522525945
164	0.2516320861
165	0.2509250167
166	0.2506256781
167	0.2503015826
168	0.2487040915
169	0.247494616
170	0.246962473
171	0.2456972196
172	0.2453898927
173	0.2444196542
174	0.2438899908
175	0.2433168805
176	0.2424318259
177	0.2414828978
178	0.2412918125
179	0.240005252
180	0.2391573218
181	0.2382426298
182	0.2368966591
183	0.2365679442
184	0.2359985026
185	0.2354935085
186	0.2350721856
187	0.234307484
188	0.2337570453
189	0.2331408766
190	0.2323239942
191	0.2317157543
192	0.2314605919
193	0.2301997801
194	0.229232227
195	0.2281619025
196	0.2274549108
197	0.2266848976
198	0.2264372791
199	0.2262281302
200	0.2251088232
201	0.2243825765
202	0.2239175922
203	0.2233113589
204	0.2225845618
205	0.2221622311
206	0.2212911268
207	0.2207012728
208	0.2201959451
209	0.2194784968
210	0.2189227875
211	0.2182543818
212	0.2172669173
213	0.2169705302
214	0.216268718
215	0.215709768
216	0.2152263219
217	0.214626809
218	0.2139346397
219	0.2138075113
220	0.2132021125
221	0.2128610922
222	0.2116708433
223	0.2112070911
224	0.2103758683
225	0.2097413229
226	0.2092835264
227	0.2086145603
228	0.2080770508
229	0.2075564094
230	0.2060777907
231	0.2049822345
232	0.2038328145
233	0.2032942559
234	0.2028815218
235	0.2017379445
236	0.2010485672
237	0.2000895043
238	0.1996145144
239	0.1994497736
240	0.1983597463
241	0.1980785622
242	0.1978177777
243	0.1974381448
244	0.196280326
245	0.1958712992
246	0.1947273157
247	0.1944591302
248	0.1935280831
249	0.1930407504
250	0.1923684883
251	0.1919565203
252	0.1918774992
253	0.1917491257
254	0.1907342185
255	0.1901392289
256	0.1895666362
257	0.1883355681
258	0.1875252292
259	0.1872227536
260	0.1862397424
261	0.1857826756
262	0.1854583389
263	0.1840555766
264	0.183982126
265	0.1832575226
266	0.1832126595
267	0.1826570143
268	0.1817853006
269	0.1809626628
270	0.180166633
271	0.1795616983
272	0.1786121772
273	0.1779875052
274	0.1774059872
275	0.1767605996
276	0.1764745573
277	0.1762705028
278	0.1761120973
279	0.1755797473
280	0.1753884287
281	0.1747462798
282	0.1742365276
283	0.1739498341
284	0.1732353319
285	0.172728876
286	0.171945661
287	0.1716707158
288	0.1708276316
289	0.1703472665
290	0.1701319667
291	0.1697578498
292	0.1692281507
293	0.1687587964
294	0.168456974
295	0.1681770415
296	0.1673981446
297	0.1672317285
298	0.1663322599
299	0.1652510134
300	0.1647981683
301	0.1643105058
302	0.1641347537
303	0.1637965241
304	0.1633748567
305	0.1632365819
306	0.1626389881
307	0.1623170635
308	0.1618855227
309	0.1609174324
310	0.1601497898
311	0.1593932834
312	0.1592276773
313	0.1586950062
314	0.1583471318
315	0.1578816598
316	0.1574645157
317	0.1572440456
318	0.1568143206
319	0.1564510107
320	0.1559220942
321	0.1551199244
322	0.1548198026
323	0.1544707272
324	0.1541215095
325	0.1538041879
326	0.1534924748
327	0.1530710615
328	0.1526139763
329	0.1522571781
330	0.15145117
331	0.1505985852
332	0.1501943841
333	0.1497056997
334	0.1490595461
335	0.1485819782
336	0.1481133448
337	0.1479913578
338	0.1474830672
